ImageNumber,ObjectNumber,Children_beta2_puncta_Count,Classify_negative,Classify_strongPositive,Classify_weakPositive,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Cells
1,1,4,0,0,1,6083.525517241379,450.7434482758621,0,1,63
1,2,3,0,0,1,331.6521739130435,1067.950899550225,0,2,512
1,3,1,1,0,0,5191.960507757405,1116.3328631875881,0,3,580
1,4,2,1,0,0,950.9690265486726,1308.174225663717,0,4,889
1,5,1,1,0,0,615.2783793223891,1350.239608801956,0,5,981
1,6,1,1,0,0,1651.9589873417722,1429.7832911392404,0,6,1125
1,7,0,1,0,0,1063.2193240264512,1439.3409257898604,0,7,1134
1,8,0,1,0,0,980.8372413793104,1479.1862068965518,0,8,1244
1,9,0,1,0,0,1006.5340811044003,1489.8205349439172,0,9,1261
1,10,0,1,0,0,963.8585055643879,1498.7027027027027,0,10,1263
1,11,0,1,0,0,970.7203667321545,1521.4695481335953,0,11,1296
1,12,0,1,0,0,1012.8673611111111,1525.0631944444444,0,12,1333
1,13,2,1,0,0,1459.0894023103967,1668.917629331994,0,13,1722
1,14,3,0,0,1,5134.861629881155,1735.2181663837011,0,14,1941
1,15,2,1,0,0,5105.047265987025,1737.7136237256718,0,15,1959
1,16,0,1,0,0,6246.244060475162,1831.2980561555075,0,16,2276
1,17,1,1,0,0,6457.069395711501,1830.2569200779726,0,17,2290
1,18,2,1,0,0,6265.792410714285,1836.4776785714287,0,18,2318
1,19,3,0,0,1,3093.8181327576904,1955.9044792228817,0,19,2725
1,20,1,1,0,0,1419.5453416149069,1980.3142857142857,0,20,2842
1,21,4,0,0,1,3520.1297709923665,2034.5521628498727,0,21,3011
1,22,3,0,0,1,3492.5479204339963,2043.4798071127186,0,22,3030
1,23,6,0,1,0,3524.456210191083,2067.5497611464966,0,23,3098
1,24,2,1,0,0,5236.381497797357,2144.8088105726874,0,24,3380
1,25,4,0,0,1,5503.590841949778,2174.653865091088,0,25,3515
1,26,5,0,0,1,5512.694054776219,2202.865731462926,0,26,3557
1,27,1,1,0,0,1262.4294146581408,2199.613379242499,0,27,3611
1,28,0,1,0,0,4891.731843575419,2226.709497206704,0,28,3674
1,29,7,0,1,0,1243.1592664092664,2239.346525096525,0,29,3691
1,30,0,1,0,0,1734.9666666666667,2234.8414814814814,0,30,3694
1,31,3,0,0,1,1685.7991753577492,2216.9849624060153,0,31,3713
1,32,0,1,0,0,4958.379216043756,2223.8541476754785,0,32,3715
1,33,0,1,0,0,4932.152684563758,2232.1023489932886,0,33,3717
1,34,1,1,0,0,6200.282682512733,2233.5950764006793,0,34,3719
1,35,4,0,0,1,2679.453914767096,2243.3612487611495,0,35,3720
1,36,1,1,0,0,4990.896645512239,2239.0942883046237,0,36,3727
1,37,0,1,0,0,4942.66,2245.24,0,37,3757
1,38,6,0,1,0,4964.890588235294,2259.727058823529,0,38,3781
1,39,2,1,0,0,1676.68487394958,2264.6638655462184,0,39,3787
1,40,0,1,0,0,2084.2158415841586,2278.231683168317,0,40,3872
1,41,9,0,1,0,2858.7600514634933,2293.821164361531,0,41,3937
1,42,1,1,0,0,2100.2973451327434,2300.767256637168,0,42,3940
1,43,2,1,0,0,5910.340601831662,2297.91408634976,0,43,3960
1,44,1,1,0,0,2073.8309352517986,2323.8129496402876,0,44,4027
1,45,4,0,0,1,2098.11171450737,2335.920093095423,0,45,4077
1,46,4,0,0,1,6413.11320754717,2359.380503144654,0,46,4181
1,47,3,0,0,1,6415.416326530612,2377.9632653061226,0,47,4224
1,48,12,0,1,0,6435.240297833935,2411.5306859205775,0,48,4268
1,49,0,1,0,0,6377.029702970297,2456.9920792079206,0,49,4438
1,50,0,1,0,0,6358.284810126583,2455.727848101266,0,50,4459
1,51,0,1,0,0,6092.368838028169,2460.1412852112676,0,51,4461
1,52,0,1,0,0,5652.003329633741,2468.476137624861,0,52,4527
1,53,6,0,1,0,6340.898159509203,2486.6184049079757,0,53,4540
1,54,6,0,1,0,6369.572004608295,2496.2160138248846,0,54,4590
1,55,11,0,1,0,5639.6366459627325,2491.0378881987576,0,55,4594
1,56,5,0,0,1,5672.767667436489,2522.8087759815244,0,56,4685
1,57,3,0,0,1,6394.490222828558,2525.614370168258,0,57,4706
1,58,6,0,1,0,2815.3684615384614,2532.083076923077,0,58,4720
1,59,2,1,0,0,5681.934343434344,2542.800505050505,0,59,4734
1,60,0,1,0,0,2849.9895833333335,2532.0,0,60,4743
1,61,1,1,0,0,6369.398876404494,2545.0730337078653,0,61,4745
1,62,1,1,0,0,6358.215805471124,2552.738601823708,0,62,4760
1,63,1,1,0,0,5686.879336349924,2557.713423831071,0,63,4773
1,64,2,1,0,0,6370.301801801802,2568.5945945945946,0,64,4777
1,65,3,0,0,1,2855.257889546351,2559.0103550295858,0,65,4783
1,66,7,0,1,0,5646.4142480211085,2562.354881266491,0,66,4802
1,67,3,0,0,1,5675.917355371901,2587.05340114431,0,67,4869
1,68,2,1,0,0,6031.7598021900385,2620.709996467679,0,68,4973
1,69,12,0,1,0,5687.317692040319,2622.99582898853,0,69,4975
1,70,2,1,0,0,622.2893258426966,2630.2359550561796,0,70,5004
1,71,3,0,0,1,3011.2849666983825,2648.697906755471,0,71,5036
1,72,0,1,0,0,6027.375483158476,2663.099392600773,0,72,5067
1,73,3,0,0,1,3048.135238095238,2660.4985714285713,0,73,5074
1,74,2,1,0,0,5977.457040900357,2658.9094153170463,0,74,5078
1,75,0,1,0,0,2136.1917808219177,2685.998287671233,0,75,5148
1,76,1,1,0,0,4259.0480900409275,2702.012619372442,0,76,5241
1,77,1,1,0,0,4672.401234567901,2712.857075023742,0,77,5242
1,78,1,1,0,0,4286.336217552534,2722.150803461063,0,78,5300
1,79,2,1,0,0,4694.958579881657,2735.3491124260354,0,79,5315
1,80,5,0,0,1,5009.27959697733,2857.123425692695,0,80,5729
1,81,8,0,1,0,4477.081510232886,2873.85179957657,0,81,5770
1,82,0,1,0,0,5753.5722135007845,2878.357927786499,0,82,5803
1,83,1,1,0,0,3565.1024498886413,2910.5515961395695,0,83,5858
1,84,1,1,0,0,5833.734401349073,2913.7533726812817,0,84,5912
1,85,1,1,0,0,5627.0011198208285,2938.713699141471,0,85,5965
1,86,2,1,0,0,3541.6502914238135,2937.9916736053287,0,86,5968
1,87,6,0,1,0,3630.6805896805895,2972.878624078624,0,87,6082
1,88,2,1,0,0,4988.213784301212,3001.412252712189,0,88,6168
1,89,0,1,0,0,5065.65404475043,3026.3201376936318,0,89,6210
1,90,4,0,0,1,4712.586466165413,3084.093984962406,0,90,6331
1,91,4,0,0,1,1835.061403508772,3097.468899521531,0,91,6391
1,92,3,0,0,1,1873.981978206203,3121.275356244761,0,92,6452
1,93,3,0,0,1,4429.445220704985,3272.764369641156,0,93,6808
1,94,1,1,0,0,819.6147806004619,3305.720323325635,0,94,6883
1,95,2,1,0,0,3773.901554404145,3331.316062176166,0,95,6953
1,96,2,1,0,0,4510.954545454545,3339.098733233979,0,96,6957
1,97,0,1,0,0,3784.4719626168226,3340.6401869158876,0,97,6972
1,98,0,1,0,0,3778.3414285714284,3360.5871428571427,0,98,7028
1,99,2,1,0,0,1977.1575645756457,3365.846125461255,0,99,7041
1,100,0,1,0,0,3204.7383676582763,3382.720823798627,0,100,7074
1,101,0,1,0,0,1977.0011600928074,3397.8677494199537,0,101,7104
1,102,5,0,0,1,3934.8714412811387,3407.8129448398577,0,102,7106
1,103,0,1,0,0,2599.6632453567936,3398.089442815249,0,103,7121
1,104,4,0,0,1,3211.2032854209447,3412.976386036961,0,104,7129
1,105,6,0,1,0,2208.1976705490847,3413.175707154742,0,105,7138
1,106,0,1,0,0,2243.2073529411764,3419.0279411764704,0,106,7143
1,107,1,1,0,0,1892.148805460751,3444.099317406143,0,107,7200
1,108,3,0,0,1,3183.39742804654,3453.4219228413963,0,108,7212
1,109,2,1,0,0,3211.2625628140704,3450.022613065327,0,109,7231
1,110,0,1,0,0,1913.7617021276596,3467.941843971631,0,110,7238
1,111,1,1,0,0,3764.971223021583,3491.2810551558755,0,111,7276
1,112,4,0,0,1,3552.997083130773,3479.002916869227,0,112,7282
1,113,2,1,0,0,3160.097127222982,3491.6183310533515,0,113,7296
1,114,0,1,0,0,3611.2105263157896,3502.0169491525426,0,114,7302
1,115,2,1,0,0,3573.905565978737,3511.365228267667,0,115,7310
1,116,3,0,0,1,2882.9966009517334,3526.8089734874234,0,116,7407
1,117,0,1,0,0,3067.569411764706,3556.0023529411765,0,117,7436
1,118,1,1,0,0,3039.071741032371,3555.5336832895887,0,118,7448
1,119,3,0,0,1,678.7604166666666,3572.376041666667,0,119,7475
1,120,0,1,0,0,3053.751256281407,3577.56783919598,0,120,7477
1,121,0,1,0,0,1049.6052953156823,3671.5116089613034,0,121,7644
1,122,1,1,0,0,1233.6737103791174,3732.289620882536,0,122,7742
